,0
0,артық
1,Мұқағали Мақатаев
2,Мұқағали өлеңдері
3,Мақатаев өлеңдері
4,өлеңдер
5,Қазақша өлең
6,өмір дейтін
7,Мұқағали Мақатаев өлеңдері
8, 
9,Өмір жайлы
10,Өмір жайлы сұрай берме сен менен
11,Өмірді мен әлі зерттеп көрмеп ем
12,Өмір жайлы білгің келсе қартқа бар
13,Қан майданнан жалғыз ұлы келмеген
14,Жесір келін бір нәресте көрмеген
15,Жетім шалды бала орнына тербеген
16,Өмір жайлы не түсінем мен деген
17,Өмір жайлы сұрай берме сен менен
18,Өмір жайлы білгің келсе қартқа бар
19,Өміріне кегі кеткен өлмеген
20,Жалған айып таңылғанда көлденең
21,Ақиқаттың аппақ туын бермеген
22,Содан сұра содан сұра өмірді
23,Нені көрді нені сезді не білді
24,г ақылды ақымақтан жеңілді
25,Біреу жылап біреу неге көңілді
26,Мұқағали Мақатаев
27,Мұқағали өлеңдері
28,Мақатаев өлеңдері
29,өлеңдер
30,Қазақша өлең
31,өмір жайлы
32,Мұқағали Мақатаев өлеңдері
33, 
34,Өмір сүрейік алмасып
35,Жапырақ-жүрек жас қайың!
36,Жанымды айырбастайын
37,Сен адам бола бастасаң
38,Мен қайың бола бастайын
39,Келісесің бе жас қайың
40,(Көрінермүмкін кімге ерсі)
41,Өміріңді маған бір берші!
42,Дүрбелең мына дүниені
43,Адам көзімен бір көрші
44,Қайың боп мен де бағайын
45,Орманнан орным табайын
46,Беймәлім маған өмірге
47,Қайың көзімен қарайын
48,Сен-дағы жерден нәр алдың
49,Мен-дағы жерден нәр алдым
50,Біреуден сен де жаралдың
51,Біреуден мен де жаралдым
52,Тілің жоқ жанды қайың сен
53,Айырмашылығым - Адаммын
54,Мендегі бары бір жүрек
55,Беріпті жүрек саған мың
56,Сондықтан ұзақ жасайсың -
57,Құрдасы келер заманның
58,Бар-жоғы менде бір жүрек
59,Ол өлсе мәңгі кеткенім
60,Сендегі: семсе мың жүрек
61,Келгенде жасыл көктемін
62,Тірілер қайта дүруреп
